workload,contract,function,description,mode,gas_estimate,n,min,median,max,p95,stddev,mean,error
W1,TokenIrec,mintERC20,Minta NeoCoin (ERC1155 tokenId=1) para um endereço,receipts,,6006,38018,38030,72218,38030,441,38032,
W4,TokenIrec,mintIREC,Minta token I-REC ERC1155 com metadados completos,receipts,,0,,,,,,,
-,TokenIrec,burnERC20,Queima NeoCoin de um endereço (owner only),receipts,,0,,,,,,,
W7,TokenIrec,burnIREC,Aposenta (burn) um certificado I-REC com certificado de origem,receipts,,1100,190952,413820,870737,739523,134522,396906,
-,TokenIrec,setApprovalForAll,Aprova operador para todos os tokens ERC1155 do caller,receipts,,16,26321,26321,46221,46221,6581,28809,
-,TokenIrec,ERC20Transfer,Transfere NeoCoin (ERC1155 tokenId=1) entre endereços,receipts,,0,,,,,,,
-,TokenIrec,safeTransferFrom,Transfere um token ERC1155 (ERC1155 padrão),receipts,,0,,,,,,,
W2,AssetManager,createPreIrec,Registra um PreIREC no AssetManager,receipts,,7675,182646,202872,278797,247555,21175,210058,
W3,AssetManager,buyPreIrec,"Compra volume de um PreIREC, transferindo NeoCoin",receipts,,550,186444,231187,236580,236580,13217,228162,
-,AssetManager,expirePreIrec,Expira PreIRECs com data anterior à informada,receipts,,0,,,,,,,
W8,AssetManager,markReceiptAsIssued,Marca recibo de compra como emitido (W8 — compliance),receipts,,0,,,,,,,
W5,TradeTokens,openIrecOffer,Abre oferta de venda de tokens I-REC no mercado secundário,receipts,,3165,168475,168655,168655,168655,81,168594,
W6,TradeTokens,buyIrec,Executa compra P2P de tokens I-REC via oferta aberta,receipts,,110,84239,84239,84251,84251,3,84240,
